               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10222,            0.070165,                   0,           0.0066667,                 0.4,           0.0060941,           0.0013335,              0.1058,              0.1012,                   0,              0.0706,           0.0032667,           0.0032667
                   1,            0.096809,            0.065301,                   0,            0.012667,                0.76,            0.038213,            0.006496,             0.10049,             0.10209,                   0,            0.040273,           0.0062733,           0.0062733
                   2,            0.092783,            0.065779,                   0,              0.4051,             0.57225,             0.45871,            0.088084,             0.10068,            0.077744,                   0,           0.0096166,           0.0089499,           0.0089499
                   3,            0.090896,            0.051974,                   0,             0.33498,                 0.4,             0.25409,            0.055031,             0.10906,            0.085315,                   0,            0.008515,            0.008515,            0.008515
                   4,            0.095349,            0.047678,                   0,             0.33498,                 0.4,             0.25409,            0.055031,             0.10906,            0.085315,                   0,            0.008515,            0.008515,            0.008515
                   5,              0.0904,            0.048309,                   0,             0.41262,             0.50608,              0.4467,            0.079333,             0.11122,            0.086506,                   0,             0.00802,             0.00802,             0.00802
                   6,              0.1039,            0.040813,                   0,             0.02189,                0.44,            0.023202,           0.0051726,             0.13068,            0.044582,                   0,            0.007525,            0.007525,            0.007525
                   7,             0.11218,             0.03552,                   0,             0.18577,                0.64,             0.18216,            0.031901,              0.1141,            0.056422,                   0,             0.00703,             0.00703,             0.00703
                   8,             0.10699,            0.036278,                   0,             0.18577,                0.64,             0.18216,            0.031901,              0.1141,            0.056422,                   0,            0.006535,            0.006535,            0.006535
                   9,             0.10333,            0.038799,                   0,             0.19997,                 0.6,             0.18736,            0.032597,             0.11448,            0.055093,                   0,             0.00604,             0.00604,             0.00604
                  10,            0.098187,            0.039097,                   0,             0.22462,                0.72,             0.23335,            0.046068,             0.10903,             0.05848,                   0,            0.005545,            0.005545,            0.005545
                  11,            0.096675,            0.042066,                   0,            0.069135,                0.68,             0.06876,            0.010821,             0.11963,            0.048967,                   0,             0.00505,             0.00505,             0.00505
                  12,             0.10095,            0.035018,                   0,            0.091195,                0.76,            0.098057,            0.024178,             0.10693,            0.057135,                   0,            0.004555,            0.004555,            0.004555
                  13,            0.099516,            0.035377,                   0,            0.091195,                0.76,            0.098057,            0.024178,             0.10693,            0.057135,                   0,             0.00406,             0.00406,             0.00406
                  14,            0.090661,            0.035656,                   0,             0.15629,                0.48,             0.14201,            0.033284,             0.10238,            0.058941,                   0,            0.003565,            0.003565,            0.003565
                  15,            0.083619,            0.038386,                   0,             0.72896,                0.68,             0.80187,             0.21217,            0.083896,            0.071635,                   0,             0.00307,             0.00307,             0.00307
                  16,            0.078117,            0.046447,                   0,             0.93742,                 0.8,             0.96741,             0.40299,            0.085639,            0.069553,                   0,            0.002575,            0.002575,            0.002575
                  17,            0.073901,            0.044415,                   0,             0.92663,                 0.8,             0.95248,             0.39652,            0.075955,            0.075808,                   0,             0.00208,             0.00208,             0.00208
                  18,            0.071879,            0.044728,                   0,             0.92663,                 0.8,             0.95248,             0.39652,            0.075955,            0.075808,                   0,            0.001585,            0.001585,            0.001585
                  19,            0.071495,            0.049204,                   0,             0.91055,                   1,               0.995,             0.49798,            0.073171,             0.07597,                   0,             0.00109,             0.00109,             0.00109
